,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
81,Yamaha MT 15 V2,56.87 kmpl,18.4 PS,Rs.1.65 Lakh,Rs. 1.66 Lakh*,https://www.bikedekho.com/yamaha/mt-15,,
82,Yamaha R15S,NaN,18.6 PS,Rs.1.62 Lakh*,Rs.NaN,https://www.bikedekho.com/yamaha/yzf-r15-v3,,
83,Yamaha R15 V4,55.20 kmpl,18.4 PS,Rs.1.79 Lakh,Rs. 1.92 Lakh*,https://www.bikedekho.com/yamaha/r15-v4,,
84,Yamaha FZ-FI V3,NaN,12.4 PS,Rs.1.14 Lakh*,Rs.NaN,https://www.bikedekho.com/yamaha/fz-fi-version-3,,
85,Yamaha FZS-FI V3,49.31 kmpl,12.4 PS,Rs.1.21 Lakh,Rs. 1.24 Lakh*,https://www.bikedekho.com/yamaha/fz-s-fi-version-3,,
86,Yamaha Aerox 155,48.62 kmpl,15 PS,Rs.1.41 Lakh,Rs. 1.43 Lakh*,https://www.bikedekho.com/yamaha/aerox-155,,
87,Yamaha Fascino 125,68.75 kmpl,8.2 PS,"Rs.76,600 ","Rs. 88,230*",https://www.bikedekho.com/yamaha/fascino,,
88,Yamaha FZ-X,NaN,12.4 PS,Rs.1.34 Lakh*,Rs.NaN,https://www.bikedekho.com/yamaha/fz-x,,
89,Yamaha RayZR 125,71.33 kmpl,8.2 PS,"Rs.80,730 ","Rs. 90,530*",https://www.bikedekho.com/yamaha/ray-zr-125,,
90,Yamaha FZ 25,50.33 kmpl,20.8 PS,Rs.1.48 Lakh*,Rs.NaN,https://www.bikedekho.com/yamaha/fz-250,,
91,Yamaha FZS 25,NaN,20.8 PS,Rs.1.52 Lakh*,Rs.NaN,https://www.bikedekho.com/yamaha/fzs-25,,
92,Suzuki Hayabusa,NaN,190 PS,Rs.16.41 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/hayabusa,,
93,Suzuki Access 125,52.45 kmpl,8.7 PS,"Rs.77,600 ","Rs. 87,200*",https://www.bikedekho.com/suzuki/access-125,,
94,Suzuki Burgman Street,55.89 kmpl,8.6 PS,"Rs.89,900 ",Rs. 1.12 Lakh*,https://www.bikedekho.com/suzuki/burgman-street,,
95,Suzuki Gixxer,NaN,13.6 PS,Rs.1.35 Lakh*,Rs.NaN,https://www.bikedekho.com/suzuki/gixxer,,
